P3_DS_Arm_Mag_L,P4_DS_Arm_W,P6_DS_Arm_Th,P9_DS_Mag_H,P11_DS_Mag_W,P18_DS_Core_Gap,P19_DS_Core_R,P22_DS_Bobbin_Th,P23_DS_Coil_Th,P273_Arm_L,P69_DS_No_Turns,P60_DS_Core_Len,P61_DS_Wire_dia_mm,P62_DS_N_Len,P63_DS_N_Th,P66_DS_Capacitance,P67_DS_VCap,P190_Time_Ipeak,P191_Vcap_max,P192_Vcap_min,P193_E_per_Farad,P194_Time_1mm,P195_Time_Parting,P350_Time_1mm_Final,P351_Time_Parting_Final
7.152528346,17.11867914,1.99830754,3.094901928,3.905098072,1.55,1.772879252,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.806951502,60.10154763,265,0.002335502,0.002335516,0.002335516,379.012323,135.9883511,464.2900957,146.8674192
7.152528346,17.11867914,1.99830754,3.094901928,3.905098072,1.55,1.772879252,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.806951502,77.89845237,155,0.001528434,0.001528289,0.001528289,346.5909699,104.1845463,424.5739382,112.51931
7.152528346,17.11867914,1.99830754,4.705098072,2.294901928,1.55,1.772879252,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,145,0.001401911,0.001402379,0.001402379,379.193373,97.00223137,464.5118819,104.7624099
7.152528346,17.11867914,1.99830754,4.705098072,2.294901928,1.55,2.027120748,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.806951502,60.10154763,280,0.002604086,0.002604126,0.002604126,396.9846019,117.0182024,486.3061373,126.3796585
7.152528346,17.11867914,1.99830754,4.705098072,2.294901928,1.55,2.027120748,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.806951502,77.89845237,165,0.001708918,0.001708874,0.001708874,374.0993382,94.65787709,458.2716893,102.2305073
7.152528346,17.11867914,1.99830754,4.705098072,3.905098072,1.55,1.772879252,0.4,1.732103587,7.002528346,79.83075395,6.4,0.328643549,16,5,0.523048498,60.10154763,255,0.00228417,0.002284167,0.002284167,388.4010571,144.790794,475.791295,156.3740575
7.152528346,17.11867914,1.99830754,4.705098072,3.905098072,1.55,2.027120748,0.4,1.38568287,7.002528346,50.16924605,6.4,0.328643549,16,4,0.806951502,77.89845237,175,0.001599672,0.001599573,0.001599573,341.7818499,110.1228679,418.6827661,118.9326973
7.152528346,17.11867914,1.99830754,4.705098072,3.905098072,1.55,1.772879252,0.4,1.650103684,7.002528346,50.16924605,6.4,0.391356451,13,4,0.523048498,77.89845237,145,0.001505521,0.00150547,0.00150547,336.5156203,105.0830038,412.2316348,113.4896441
8,10,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,195,0.002112662,0.002112467,0.002112467,245.6234516,85.10875219,300.8887282,91.91745237
8,15,1.5,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,195,0.002063922,0.002064071,0.002064071,310.4984659,96.1522195,380.3606208,103.8443971
8,15,1.85,2,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,210,0.002137213,0.002137059,0.002137059,334.7001647,104.4393599,410.0077018,112.7945087
8,15,1.85,3.9,1.2,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,190,0.002140917,0.002140792,0.002140792,367.378079,69.95536304,450.0381468,75.55179208
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.205881881,7.85,65,6.4,0.286,18,4,0.665,69,215,0.002002971,0.002002583,0.002002583,337.3987149,115.0555304,413.3134258,124.2599728
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.33,69,190,0.002057172,0.002056996,0.002056996,329.0489478,109.7593272,403.084961,118.5400734
